Instance name,Subramanyam and Gounaris (2018),Root time (sec.),Total time (sec.),# BC nodes,Root LB,Root UB,root-Gap,Best Bound,Best Integer,Status,res-Gap,Best known
ftv38_p5_f50_lH,5732,0.60,4105.32,641909,5526.6,5858,6.0,5732.0,5732,1,,0
ftv38_p5_f50_lL,5759,0.65,4837.09,445897,5555.9,5894,6.1,5759.0,5759,1,,0
ftv38_p5_f50_lM,5732,0.51,3343.47,472999,5546.6,5858,5.6,5732.0,5732,1,,0
ftv38_p5_f70_lH,6612,0.53,6234.30,466187,6466.8,6661,3.0,6612.0,6612,1,,0
ftv38_p5_f70_lL,6653,0.63,5615.16,618220,6475.4,6661,2.9,6653.0,6653,1,,0
ftv38_p5_f70_lM,6621,0.59,582.35,88127,6478.6,6661,2.8,6621.0,6621,1,,0
ftv38_p5_f90_lH,7392,0.59,825.51,115448,7292.3,7392,1.4,7392.0,7392,1,,0
ftv38_p5_f90_lL,7392,0.70,45.14,10825,7303.0,7392,1.2,7392.0,7392,1,,0
ftv38_p5_f90_lM,7392,0.58,90.35,19216,7298.3,7392,1.3,7392.0,7392,1,,0
dantzig42_p3_f50_lH,1619,0.18,0.96,496,1599.0,1624,1.6,1619.0,1619,1,,0
dantzig42_p3_f50_lL,1619,0.12,1.38,974,1599.0,1624,1.6,1619.0,1619,1,,0
dantzig42_p3_f50_lM,1619,0.13,1.51,1212,1599.0,1624,1.6,1619.0,1619,1,,0
dantzig42_p3_f70_lH,1781,0.31,4.80,2530,1758.0,1785,1.5,1781.0,1781,1,,0
dantzig42_p3_f70_lL,1785,0.30,4.87,3759,1758.0,1785,1.5,1785.0,1785,1,,0
dantzig42_p3_f70_lM,1785,0.31,5.69,4092,1758.0,1785,1.5,1785.0,1785,1,,0
dantzig42_p3_f90_lH,2046,0.24,2.31,187,2035.0,2046,0.5,2046.0,2046,1,,0
dantzig42_p3_f90_lL,2046,0.25,3.61,286,2035.0,2046,0.5,2046.0,2046,1,,0
dantzig42_p3_f90_lM,2046,0.46,12.31,312,2035.0,2046,0.5,2046.0,2046,1,,0
dantzig42_p5_f50_lH,2711,0.52,18.90,9641,2678.0,2722,1.6,2711.0,2711,1,,0
dantzig42_p5_f50_lL,2716,0.72,24.76,13535,2678.0,2727,1.8,2716.0,2716,1,,0
dantzig42_p5_f50_lM,2711,0.57,35.92,15854,2678.0,2727,1.8,2711.0,2711,1,,0
dantzig42_p5_f70_lH,2968,1.28,50.19,21516,2932.0,2968,1.2,2968.0,2968,1,,0
dantzig42_p5_f70_lL,2968,0.68,66.13,26197,2932.0,2968,1.2,2968.0,2968,1,,0
dantzig42_p5_f70_lM,2968,0.73,47.80,18141,2932.0,2968,1.2,2968.0,2968,1,,0
dantzig42_p5_f90_lH,3344,0.31,4.29,527,3329.5,3344,0.4,3344.0,3344,1,,0
dantzig42_p5_f90_lL,3362,0.78,105.67,26925,3329.5,3362,1.0,3362.0,3362,1,,0
dantzig42_p5_f90_lM,3362,0.36,220.22,52566,3329.5,3362,1.0,3362.0,3362,1,,0
swiss42_p3_f50_lH,3042,0.17,82.89,40875,2974.5,3063,3.0,3042.0,3042,1,,0
swiss42_p3_f50_lL,3055,0.17,150.56,87939,2973.5,3063,3.0,3055.0,3055,1,,0
swiss42_p3_f50_lM,3055,0.16,305.55,112292,2974.5,3063,3.0,3055.0,3055,1,,0
swiss42_p3_f70_lH,3274,0.18,1.29,618,3220.0,3274,1.7,3274.0,3274,1,,0
swiss42_p3_f70_lL,3274,0.18,1.08,509,3220.0,3274,1.7,3274.0,3274,1,,0
swiss42_p3_f70_lM,3274,0.18,1.27,603,3220.0,3274,1.7,3274.0,3274,1,,0
swiss42_p3_f90_lH,3533,0.20,0.25,9,3521.0,3533,0.3,3533.0,3533,1,,0
swiss42_p3_f90_lL,3533,0.19,0.24,9,3521.0,3533,0.3,3533.0,3533,1,,0
swiss42_p3_f90_lM,3533,0.22,0.24,6,3521.0,3533,0.3,3533.0,3533,1,,0
